Client name;;;;;
0to9 AB;;;;;
Abg Sundal Collier AB;;;;;
Afa Försäkring tjänstepensionsaktiebolag;;;;;
Agria Tierversicherung;;;;;
Agria Vet Guide AB;;;;;
AMERICAN EXPRESS DE ESPAÑA S.A.U;;;;;
AMF Tjänstepension AB;;;;;
AREKO UAB;;;;;
Aros Kapital AB;;;;;
Bank for International Settlements;;;;;
Bankgirocentralen BGC AB;;;;;
Banky AB;;;;;
Bliwa Livförsäkring Ömsesidigt;;;;;
Carnegie Holding AB;;;;;
Chesnara plc;;;;;
Coeli Group AB;;;;;
Danske Bank;;;;;
Danske Bank A/S;;;;;
Danske Leasing A/S;;;;;
EnterCard Group AB;;;;;
Erika Försäkrings AB (Publ);;;;;
Erste Group Bank AG;;;;;
Euroclear Sweden AB;;;;;
Folksam Ömsesidig Sakförsäkring;;;;;
Fondo Solutions AB;;;;;
Frink AB;;;;;
Froda AB;;;;;
Försäkringsbolaget PRI Pensionsgaranti, OFB;;;;;
Gamla Länsförsäkringar AB (publ);;;;;
Getswish AB;;;;;
HABIB BANK LIMITED;;;;;
Handelsbanken Finans AB;;;;;
If Skadeförsäkring AB (publ);;;;;
Ikano Bostad AB;;;;;
Ikano SA;;;;;
Intrum AB;;;;;
Intrum Sverige AB;;;;;
Jyske Bank A/S;;;;;
Kollektivavtalsinformation Sverige AB;;;;;
Kuntarahoitus Oyj;;;;;
Landshypotek Bank AB;;;;;
Linas Matkasse HoldCo AB;;;;;
Livförsäkringsbolaget Skandia, Ömsesidigt;;;;;
Loomis AB;;;;;
LUKANGO LTD;;;;;
Lunar Bank A/S;;;;;
Lysa AB;;;;;
Länsförsäkringar AB (publ);;;;;
Länsförsäkringar Bank AB;;;;;
LÄNSFÖRSÄKRINGAR FONDLIV FÖRSÄKRINGS AB;;;;;
Länsförsäkringar Liv Försäkrings AB (publ);;;;;
Länsförsäkringar Mäklarservice AB;;;;;
Länsförsäkringar Skåne - Ömsesidigt;;;;;
Löf regionernas ömsesidiga försäkringsbolag;;;;;
Morrow Bank AB;;;;;
Morrow Bank ASA;;;;;
Movestic Livförsäkring AB;;;;;
Nordea Asset Management Holding AB;;;;;
Nordea Bank Abp;;;;;
Nordea Bank Abp, Filial i Norge;;;;;
Nordea Bank Abp, Filial i Sverige;;;;;
Nordea Bank Norge ASA;;;;;
Nordea Danmark, Filial af Nordea Bank Abp, Finland;;;;;
Nordea Finans Danmark A/S;;;;;
Nordea Life & Pensions Limited;;;;;
Nordea Life Holding AB;;;;;
Nordic Growth Market Ngm AB.;;;;;
Nordnet AB;;;;;
Nordnet AB (publ);;;;;
Nordnet Bank AB;;;;;
PayEx Sverige AB;;;;;
Pohjantähti Keskinäinen Vakuutusyhtiö;;;;;
Santander Consumer Bank AB;;;;;
Santander Consumer Bank AS;;;;;
Santander Consumer Bank As Norge, Sverige Filial;;;;;
SBAB Bank AB (publ);;;;;
Sirius International Insurance Corporation;;;;;
SiriusPoint International Försäkringsaktiebolag (p;;;;;
Skandia Fastigheter AB;;;;;
Skandia Fonder AB;;;;;
SkandiaBanken AB (publ);;;;;
Skandinaviska Enskilda Banken AB;;;;;
Solid FörsäkringsAB;;;;;
Sparbanken Göinge AB;;;;;
Sparbanken Sjuhärad AB (publ);;;;;
SpareBank 1 Utvikling DA;;;;;
SpareBank 1 Østlandet;;;;;
Storebrand ASA;;;;;
Summa Equity AB;;;;;
Svea Bank AB;;;;;
Svea Ekonomi AB;;;;;
Svenska Försäkringsförmedlares Förening;;;;;
Svenska Handelsbanken AB;;;;;
Svenska Handelsbanken AB NUF;;;;;
Sveriges Riksbank;;;;;
Sveriges Ångfartygs Assurans Förening;;;;;
Swedbank AB;;;;;
Swedbank Finans AB;;;;;
Swedbank Försäkring AB;;;;;
SWEDBANK LIFE INSURANCE SE;;;;;
Swedbank Robur AB;;;;;
Tieto-Tapiola Oy;;;;;
Tink AB;;;;;
Tryg A/S;;;;;
Tryg Forsikring A/S;;;;;
Trygg-Hansa Försäkring filial;;;;;
VISA EUROPE LIMITED;;;;;
VISA EUROPE MANAGEMENT SERVICES LIMITED;;;;;
Volvo Personvagnars Pensionsstiftelse;;;;;
Vordur tryggingar hf.;;;;;
WORLDLINE;;;;;
